benthic,near the seabed at the bottom of a body of water
bog,wetland with accumulated plant material and acidic soils
brackish water,areas with salty water
chaparral,dense spiny shrubs with tough evergreen leaves
coastal,the nearshore aquatic habitats near a coast
desert/dune,dry with sparse vegetation
estuarine,where a freshwater river meets the ocean
forest,dominated by trees
freshwater,water that is not salty
lakes,body of water surrounded by land
marsh,wetland dominated by grasses and reeds
mountains,summits of high mountains without vegetation or covered by low tundra-like vegetation
ocean,open ocean
rainforest,trees forming a closed canopy with little light reaching the ground
reef,underwater ecosystems held together by calcium carbonate structures secreted by corals
riparian,located adjacent to a waterbody
rivers,stream of water
savanna/grassland,mostly grasses with scattered trees
scrub forest,dry seasons
suburban,outskirts of large cities or towns
swamp,wetland covered in water dominated by woody vegetation
taiga,coniferous or boreal forest with long winters
tundra,low vegetation at extremely high latitudes or elevations
urban,cities and large towns dominated by human structures and activity
polar ice,in the arctic circle
