acanthurus olivaceus,Orangeshoulder Tang;Orange Band Surgeonfish,acanthurus,acanthuridae,oriental,reef,NE
acanthurus pyroferus,Chocolate Tang;Chocolate Surgeonfish,acanthurus,acanthuridae,indian ocean;pacific ocean;australian,reef,NE
aceros corrugatus,Wrinkled Hornbill;Sundra Wrinkled Hornbill,aceros,bucerotidae,oriental,rainforest,NT
acinonyx jubatus,Cheetah;Hunting Leopard,acinonyx,felidae,ethiopian;oriental;palearctic,desert/dune;savanna/grassland,VU
acryllium vulturinum,Vulturine Guineafowl,acryllium,numididae,ethiopian,savanna/grassland;scrub forest,LC
addax nasomaculatus,Addax,addax,bovidae,ethiopian,desert/dune;savanna/grassland,CR
aegolius acadicus,Northern Saw-Whet Owl,aegolius,strigidae,nearctic,forest,LC
aegypius monachus,Cinereous Vulture,aegypius,accipitridae,palearctic,forest,NT
afropavo congensis,Congo Peafowl,afropavo,phasianidae,oriental,forest,VU
agalychnis callidryas,Red-Eyed Tree Frog,agalychnis,hylidae,neotropical,forest;rainforest,LC
agalychnis lemur,Lemur Leaf Frog,agalychnis,hylidae,neotropical,forest,CR
agama agama,Common Agama,agama,agamidae,ethiopian,desert,NE
agapornis personatus,Masked Lovebird;Yellow-Collared Lovebird,agapornis,psittaculidae,ethiopian,forest;shrub forest,LC
agkistrodon bilineatus,Taylor's Cantil,agkistrodon,viperidae,neotropical,coastal,NT
agkistrodon contortrix,Copperhead,agkistrodon,viperidae,nearctic,savanna/grassland,LC
agkistrodon piscivorus,Cottonmouth,agkistrodon,viperidae,nearctic,savanna/grassland,LC
ailuroedus buccoides,White-Eared Catbird,ailuroedus,ptilonorhynchidae,oriental,forest,LC
ailuropoda melanoleuca,Giant Panda,ailuropoda,ursidae,oriental,forest,VU
ailurus fulgens,Red Panda,ailurus,ailuridae,oriental,forest; mountains,EN
aix galericulata,Mandarin Duck,aix,anatidae,oriental,lake,LC
aix sponsa,Wood Duck;Carolina Duck,aix,anatidae,nearctic,swamp;marsh;lakes,LC
aldabrachelys gigantea,Aldabra Tortoise,aldabrachelys,testudinidae,ethiopian,desert/dune;savanna/grassland;scrub forest;coastal;swamp,VU
alectura lathami,Australian Brush Turkey;Scrub Turkey,alectura,megapodiidae,australian,rainforest;forest;scrub forest,LC
allenopithecus nigroviridis,Swamp Monkey;Allen's Swamp Monkey,allenopithecus,cercopithecidae,ethiopian,forest;rainforest,LC
alligator mississippiensis,American Alligator,alligator,crocodylidae,nearctic,lakes;rivers;coastal;brackish water;marsh;swamp;urban;suburban,LC
alligator sinensis,Chinese Alligator,alligator,crocodylidae,oriental,rivers;lakes;swamp,CR
alopochen aegyptiacus,Egyptian Goose,alopochen,anatidae,ethiopian,lakes;rivers,LC
alouatta caraya,Black Howler Monkey,alouatta,atelidae,neotropical,forest;rainforest,LC
amaurornis flavirostra,Black Crake,amaurornis,rallidae,ethiopian,marsh,LC
amazona leucocephala,Cuban Amazon Parrot,amazona,psittacidae,neotropical,forest,NT
amazona oratrix,Yellow-Headed Amazon,amazona,psittacidae,neotropical,forest;rainforest,EN
amazona viridigenalis,Red-Crowned Amazon;Red-Crowned Parrot;Green-Cheeked Amazon;Mexican Red-Headed Parrot,amazona,psittacidae,neaerctic,scrub forest;chaparral;suburban,EN
amazonetta brasiliensis,Brazilian Teal,amazonetta,anatidae,neotropical,forest,LC
amblonyx cinerea,Oriental Small-Clawed Otter,amblonyx,mustelidae,oriental,lakes;rivers,VU
ambystoma californiense,California Tiger Salamander,ambystoma,ambystomatidae,nearctic,lakes,VU
ambystoma maculatum,Spotted Salamander,ambystoma,ambystomatidae,nearctic,forest;marsh,LC
ambystoma mavortium,Barred Tiger Salamander,ambystoma,ambystomatidae,nearctic,forest,CR
ambystoma mexicanum,Axolotl,ambystoma,ambystomatidae,nearctic,lakes,CR
ambystoma opacum,Marbled Salamander,ambystoma,ambystomatidae,nearctic,forest,LC
ammospermophilus harrisii,Harris' Antelope Squirrel,ammospermophilus,sciuridae,nearctic,savanna/grassland,LC
ammotragus lervia,Aoudad,ammotragus,bovidae,ethiopian,desert/dune;savanna/grassland;mountains,VU
amphiprion clarkii,Black Clownfish;Brown Anemonefish,amphiprion,pomacentridae,indian ocean;pacific ocean,reef,NE
amphiprion ocellaris,Ocellaris Clownfish;Clown Anemonefish;Common Clownfish,amphiprion,pomacentridae,oriental;australian;pacific ocean,reef,NE
amphiprion percula,Percula Clownfish;Blackfinned Clownfish,amphiprion,pomacentridae,indian ocean;pacific ocean,reef;coastal,NE
anartia jatrophae,White Peacock Butterfly,anartia,nymphalidae,nearctic;neotropical,savanna/grassland;forest;scrub forest;rivers;suburban;riparian,NE
anas acuta,Pintail Duck,anas,anatidae,nearctic,lakes;rivers,LC
anas americana,American Widgeon,anas,anatidae,nearctic,rivers;swamp,LC
anas capensis,Cape Teal,anas,anatidae,ethiopian,lakes,LC
anas carolinensis,Green Winged Teal Duck,anas,anatidae,nearctic,marsh,LC
anas clypeata,Northern Shoveler,anas,anatidae,palearctic,marsh,LC
anas cyanoptera,Cinnamon Teal Duck,anas,anatidae,nearctic,lake;marsh,LC
anas discors,Blue Winged Teal,anas ,anatidae,nearctic,marsh,LC
