Abilene Zoo,Abilene,TX,2070 Zoo Lane,1100,13,9:00,17:00,175000,http://abilenezoo.org/
Audubon Zoo,New Orleans,LA,6500 Magazine St. ,2000,58,10:00,16:00,860000,http://audubonnatureinstitute.org/zoo
Baton Rouge Zoo,Baton Rouge,LA,3601 Thomas Rd,1900,125,9:30,16:00,255000,http://www.brzoo.org/
Birmingham Zoo,Birmingham,AL,2630 Cahaba Rd.,800,122,9:00,17:00,500000,https://www.birminghamzoo.com/
Brandywine Zoo,Wilmington,DE,1001 N Park Dr.,150,12,10:00,16:00,80000,http://www.brandywinezoo.org/
Bronx Zoo,Bronx,NY,2300 Southern Blvd,4000,265,10:00,17:00,2000000,http://bronxzoo.com/
Brookfield Zoo,Brookfield,IL,8400 W 31st St,2300,216,10:00,17:00,2300000,https://www.czs.org/Brookfield-ZOO/Home
Chahinkapa Zoo,Wahpeton,ND,1004 R J Hughes Dr.,200,18,11:00,19:00,55000,http://www.chahinkapazoo.org/
Connecticut's Beardsley Zoo,Bridgeport,CT,1875 Noble Ave,305,18118,9:00,16:00,260000,http://www.beardsleyzoo.com/
Dallas Zoo,Dallas,TX,650 S R L Thornton Fwy,2000,106,9:00,17:00,915000,http://www.dallaszoo.com/
Denver Zoo,Denver,CO,2300 Steele St,4125,80,9:00,17:00,2000000,http://www.denverzoo.org/
Fort Wayne Children's Zoo,Fort Wayne,IN,3411 Sherman Blvd,1000,38,9:00,17:00,600000,http://kidszoo.org/
Fort Worth Zoo,Fort Worth,TX,1989 Colonial Pkwy,5000,64,10:00,17:00,1000000,https://www.fortworthzoo.org/
Fossil Rim Wildlife Center,Glen Rose,TX,2299 Co Rd 2008,1100,1700,8:30,16:30,1000000,http://www.fossilrim.org/
Franklin Park Zoo,Boston,MA,1 Franklin Park Rd,1000,72,10:00,17:00,320000,http://www.zoonewengland.org/franklin-park-zoo
Fresno Chaffee Zoo,Fresno,CA,894 W Belmont Ave,694,39,9:00,16:00,530000,https://www.fresnochaffeezoo.org/
Gladys Porter Zoo,Brownsville,TX,500 E Ringgold St,1600,31,9:00,17:00,430000,http://gpz.org/
Great Plains Zoo,Sioux Falls,SD,805 S Kiwanis Ave,850,45,10:00,17:00,275000,http://www.greatzoo.org/
Grizzly and Wolf Discovery Center,West Yellowstone,MT,201 S Canyon St,24,13,8:30,19:00,150000,http://www.grizzlydiscoveryctr.org/
Happy Hollow Zoo,San Jose,CA,1300 Senter Rd,150,16,10:00,16:00,430000,http://www.hhpz.org/
Houston Zoo,Houston,TX,6200 Hermann Park Dr,6000,55,9:00,18:00,1800000,http://www.houstonzoo.org/
